"HolderAddress","Balance","PendingBalanceUpdate"
"0xabae0493f1f39f9b9c5ffa3521d603fb8170abb8","84.035571915809271104","No"
"0xe81dffe19a1af821f11770065b9a67e3fad5951d","81.86170042818682191","No"
"0x9ebf73a47182147a3c66a36b868fd1a7123c0401","77.867755373639105215","No"
"0x9d87de2499dd8573d35267f2e012c2fa3be081bc","73.98581256617448787","No"
"0xe837d4df009f104189ef4180d385d61c57372abb","73.109371478836493452","No"
"0x71fad3357c786312d7a2e65623c592d434f3c9ef","72.973272206846843346","No"
"0x2c9b17c98fab09b412f7edab37624f346b7de35e","71.357277584063780296","No"
"0x183a40522cb917243f0e9f12397b4263f8473159","68.6535159645431321","No"
"0xaba46af4a1587771bf6997864cae5d67910ea545","66.898518863342204099","No"
"0x074a47b4a107beaef9d8fb5cbb66d7a829383168","65.723980639534100782","No"
"0xf4e6232d2f86bd3399d956b3892d6b1893e1e06e","65.703628673082221212","No"
"0xfa16fd38c53bed1aa06b1f095e7743dfcf651434","62.076601342684362805","No"
"0x48747d2dbaa3f2473e13aa73c545f38f156eace9","60.843903131516178462","No"
"0x7c9b4fbf5505aaf9a6353674d56bc56de41bb3a6","59.780456279337734316","No"
"0xc50ebd6a19d4d300ba593f79833e20f6252fbe69","59.617906741763604828","No"
"0xfd7429b10b6678b5755decf52c21b289fcbdb3b9","59.592230091456379171","No"
"0xaf6fdac3a733c14f0bdde319a931fa80e05f0696","59.549918778057502777","No"
"0x4bc324321a21b4ed2c61fc7ea0a5a523bbc17ef3","59.50210974944826603","No"
"0xf784ad3509eb95b98535f4abb3488a739c7f440f","59.501815174796739427","No"
"0xffe73bbc10183cfe1f920a9bb22e262412318d46","59.50179876517916","No"
"0xae9e586fb7ad32214a94d6c5e768893eca638766","59.501770263129763805","No"
"0x3a0d36f7b4d7bbb6779e0382107c08fe2b2f8704","59.501747000247689812","No"
"0x364c10a69b3942cb883f24446fdf95fdd3dfb849","59.501733800043943745","No"
"0x6012ef63109ff23f107e8d2ec51544af7cf548ac","59.282029757815976723","No"
"0xc4f91e9d571d1366551e01056a1c8a2b8b01f8ec","58.930529609953246961","No"
"0x7b68a28d7ad85451188fa0608fb3ea2d83155bde","58.910014114091048043","No"
"0xbd7956f3a8166db76c93d06226e9e0d4a74dcd23","57.904458784913707348","No"
"0x4751917e24eed8286894de9f5302df8daf510acc","56.243624932883534484","No"
"0xe9f72d1c7a83b56629d182ccfc4e42d415623bdf","55.550579386900174939","No"
"0x9222c7e7c839b26ed2d498897fdcffdb229ae111","47.769336944723306715","No"
"0x59b9d35f67fe1fbb993c3f1d6528469bb3aef98b","42.193313235244502835","No"
"0x3f6c3bc1679731825d457541bd27c1d713698306","41.288232378122309285","No"
"0xbac7543009300e222f11bbc56c89a2fc6aca3e8a","38.754713875499319897","No"
"0xa3653544812105b666a11b2d98c64cabf8cbaeec","37.397571445201521101","No"
"0x8d6dbc72d1b115cb2e107846ac5b14b6780b2c97","36.522226474374008376","No"
"0x836aa96728a55cc77a4a642d3671fd23aa2c2dc0","35.777588268271642846","No"
"0x7e87852b24271d9b1ceab796ad97d40562e4c7ae","35.386410894638267166","No"
"0x1a88508fe5a087709689c0391c2ccec11255bce0","35.102978486768513733","No"
"0x23515c621085b10724a2f985ed11b96707aff290","34.575150860967042377","No"
"0x4238b7203b36e2e9f9255c1e20fddf7729c31f79","33.64733286651687346","No"
"0x3330d08035c205ebb7d782566179c8dc0ded22b2","32.031398373873032636","No"
"0x2a7c1eab15a05bdced978b163f45d7774856c161","31.026568067936008077","No"
"0x986b74ec0a06357451f87c2b09633b362b73e9da","29.799037427953777524","No"
"0x281d445ccb1549097dcb055e363716bca616f486","29.767129449045388156","No"
"0x911189774583ec3bb1cf0bf81d4bd2b2654caecd","29.074659617154498648","No"
"0x1498d282b1f2d2226f4aea22219f5be900066ac0","24.831149060205586178","No"
"0xb409f9937bc0fc673f6e0cba6a73ae7913b9db52","22.65226289821996275","No"
"0x97e51dbcd71a7389a358bebf801a154d0e21ba9b","20.493124303220994875","No"
"0xceb7133758c3617ef7ce00e5c634986dab2d7e78","20.007962445449170627","No"
"0xe5f8a81f072150701c25fba31c910884fa33098c","19.124617646544439964","No"
"0x134f96d78c1acbb1f07d3c191baf565850169fb3","17.907743792921145598","No"
