HolderAddress,Balance
0x68685c2d52C8C478221de9236B1d18fFc9261347,35
0x370D72BD11EcBc9535D07c0CA969CCb6B2485f2a,33
0xf91096C93f3428c9Ec6De16607E40b27b1cBb2AE,28
0x1251808B55a93A2AC68cBBF309B7ff411F3626E7,27
0x9c972D06EcEee9DC08e2d295742D2045F8e54Fa2,26
0x707149A109C72AbA60158b8e67170ddD00F6bC7a,25
0xa80FA66f66e7EddFEfA0a617B49f43dd713FD086,24
0xaF4091E6C95c9a769F75C619f1a88556fE1faec6,23
0xB13468336a90abebbd3E8EEa9a4878EB199fAc21,22
0x7Ba03291202A566d71Cd2DD11271B486792FF819,21
0xbEf1E07918EA598eC91a119D0B0E59950309D8aE,20
0x3a3cbD8556d60562d410a5Cd1881E95bFcDEfE62,20
0xcA408a157a606AF7866DE64C2Ba95A9Cdf385dDc,19
0xf6CA829Ea6f2E44e042Ea418596027DA435bEFA4,19
0x8771aC12777B4CDEfefE53f259f73065F7D74518,17
0xb28948dBCCC9d3f3E2173BEDa1853aFa8ebacc0A,17
0x40b9B2660fdb3DDB2d8f4834941E2B80D71d1809,17
0x270533D9D5469061b10376AA9092BfbA2387cb18,17
0x2817D13Ed8ED176CD99684C8BD5BDb0145667228,17
0xeB111b5c7AB37b1Ffea132C60CEb70C91AB31146,16
0xd61414451bE387Ef52A34BCdFe4E6684e2e8B438,16
0xf47A93Ba9d9CDc028A45840DD70Eb189b0170E17,16
0x2446bEb3905CfFbd2c5eB18F1f9c2996B05257c4,14
0x31bbAb9dA20a2d0eB65c187c45f440aF4D2Bb65F,14
0x00C0dB2b6D538eE7f27536854374d95130C9802D,14
0x92C6f8F00A21A586fFD2b0D0Ed473585464724A6,13
0xB57d6e248f0Cc14B90659EFEA2931497DF3EAe89,13
0x90983607e3049864Fd3962A3a36bde85a745eB6F,13
0x7ea0F10D0496b7170f67A728F8b8bD8B62367e03,13
0x9F620cCbcb854f15575bCEFFfC41DAc3173f2b48,12
0xE9E6A3f4d2bd12624a90b23aFB0f706e2c110b01,12
0x32B80026753267331cB6CD161C6E12d6dA437262,12
0x8906B2b1A2bDc52DbAf8939a7F6017FDD178bA69,11
0x5559f138Ae7ad7743CE075a0D66e1b46cA89Cc0a,11
0x8355be55CCF2dEE00ab5cC6d62f81eA97A8fF35D,11
0x14f69F9C351b798dF31fC53E33c09dD29bFAb547,10
0x3204bE573C79b0B194E092CF83AEAc827339C826,10
0x19B4c18761BA8A9cA225E8020dc41EAb048d2502,10
0xAF7274D75217CA23D986F2AEA6Ad9d74a8FD00D5,10
0xD3441E6b8Fde988cDfa5A84125cDE98528382144,10
0x6c72D008c37EBa7295D878F57faFf902Eb7B21DF,10
0x70e439584Ef1BA300106b9c16543eaa1DE676Dc2,9
0xf567361ff0bCDcAd1252c8E2Fb8e5d4a9bB4e266,9
0x8e8151283d22c6e1c861C70bc638422FB9F8e19D,9
0x933d3667128c71335d20FA8B9455e44B03D37391,8
0x90eE5Cf01a0468eC7e0669084854CFbb3C8Af515,8
0x383AdF04bF3ECef7293F8F272A8cd5b9f12F283F,8
0x99EB42f78AE33D54367Ceba3AdA5Dd2E5B0a43FC,7
0x68bcB0EBd671398dD33CD2dF4bC62e4675317d87,7
0x56B8A86d33da5dA1A99E312DE12e775D91c5D710,7
0x5bd600F4De07a9978b6F42fB2370eE778Fc3F5e9,6
0x89dade90E831EBef4b1a1c5ACd9FBaDD0A2DD51E,6
0xb3AEBa7fc075dEbCd37Bd6743f1dBc4FfD6baBfa,6
0xA937F63bA1D69fD7e022fD50628B6D8fCFbDE52d,6
0x2f3b3D793D601724200a1CbaCbB16aD513264aad,6
0xC26D1b1e3908c2d10EBF92a27d070d0eED0307e7,6
0x558aFca8d68F6a7335837B06ce218a234978225b,6
0xfE6776498f7b814A6b7b69fc37cDf8A993B01708,6
0x48634df90839d56F1f4E1cB2C97660C0F16c7814,6
0x20FFcCEC72e6EB47a49f1C8133A991E34005B8D2,6
0x8D1e46e92dC5B24c09bDf46F9B7D20a8e47cea70,5
0x5372e56628399CD2d3a21EeAF394e82b1f0FAB9C,5
0xB8e6F532f6FeE638d369228E87af10A79ecaaf63,5
0xdD92Fc22E9b705B5f3ee5517Dac65812A5A53C11,5
0x86133C621ae2561e3C5B7C9ddBD6eCc12086b271,5
0xF1230522f6B4D7104C8Aa1F473DAf5d117fB14cc,4
0x4e0D5d3AB320aA7C3337258DC8b9097b6B0A98D7,4
0xf17668Ff22c63E63475D5f7DbDf7585D51E52c76,4
0x848d7b8cB09FA69cEB277CF70f1fE01EB0c00De9,4
0x6638Dab66944E297c1880815A582787680AD6f80,4
0x9597a6B5f20Dee8aBC6B382f97EBBE44da4D6CfF,4
0x9521C3BFc47C1D1c90bf5B9B8AB52ebe0e790431,4
0x34F4A203C0C43f451789b39FC67D07Db1D9F5aaB,4
0x6d143E5565CC630eBD09ff0631fdAeBf90083116,4
0x7C51967dfC95a847ea79fEE64811470CE794fd13,3
