HolderAddress,Balance
0xf567361ff0bCDcAd1252c8E2Fb8e5d4a9bB4e266,32316836139608
0x78bCcd5d99C37c74E5b820a3a1627aaEE7871567,27945041515130
0x8c1A4C98C470900567FB9e764243c89cDa79400C,20326579936445
0x01602440213D10820B775a9E23ec840fC8725048,12821947561091
0x9245438524aa65b148bEe7dc3625E1082b497A48,10210962035208
0xC83e08964B900F7B9ab03f662B6ff317866835cF,10170418376463
0x3cDDaBfe959eDc257DDD42C1AE8d5191913D8602,7358707638665
0xec76D5162BF832F12831Ab118F5dbB58419d76c9,7328158582710
0x8ad557E25766C99e28E6Fe8e3e0FBf87e452B23D,7093021335558
0x144A87347e19BcC79F822AbA013F21Cb5ca9f8c6,5750004541651
0xA937F63bA1D69fD7e022fD50628B6D8fCFbDE52d,5290000373502
0x7A698C4547f518EAEB49556DB858c3E425b388fb,4772400930104
0xC04Bc1996320f27c0A6018cB370c9469a9Dd3a4C,3888674968836
0x973d3C4529f7928e8f4A72e815017681408Ab53c,3118524870310
0x31bbAb9dA20a2d0eB65c187c45f440aF4D2Bb65F,2964443754489
0x109f41C7f404a642E6a2eE5B103d6C90A5616Bf9,2963884793842
0x22aCAe0bB0F68D09407b6AC2D6bdB27C429E3873,2838646521900
0xbC14C6E767b48919f9a86Bb06D43c994261Ee1d3,2796785827115
0x86133C621ae2561e3C5B7C9ddBD6eCc12086b271,2484661230543
0xcA408a157a606AF7866DE64C2Ba95A9Cdf385dDc,2253536389392
0xeC3b302d38D0446BBC039488cd4E206a2c0a2319,2215277627122
0x90eE5Cf01a0468eC7e0669084854CFbb3C8Af515,2008279312110
0xAbba833e2c9F66254Ad3632C08df78A629EdAB7e,1682828204766
0x7E33bb2995697f898bC429548A8c9731Aca65c38,1601164010866
0x6476cF5b9e59342d580ADF5e2a338633d4209D53,1420948564189
0x90C0Bf8D71369d21F8ADDF0Da33D21DcB0B1C384,1264069463184
0x8d36C6add3FB00a59c72989179a378ce9B06Fd77,1198348788336
0xF94d160ae22a3D37a4fa9b33569F5c1e41BA1829,1191522400473
0xC97327DAacc4BE88D5Ab2e910EB4f82351711c28,1082350684047
0xB390F006cD3Eb7bAb476C99a1Bda1B057Af14967,1064184424470
0x8C31b2689d13DC41653a3Db881Ebf94Af83525C6,1018243942913
0xF6Da9e9D73d7893223578D32a95d6d7de5522767,1015263685150
0xd5025A2071E9CDf36CD7BB9A22e9aE44F20cF530,1006160393952
0xe780d954D6313270487CDB07A1f5B335D9971933,963089977537
0xf6CA829Ea6f2E44e042Ea418596027DA435bEFA4,918982048559
